ID,Answer
10023321,4
10076124,4
10292442,4
10450610,4
10466910,4
10498495,4
10598939,4
10657631,4
10697984,4
10755199,4
10893831,4
10899468,4
11029747,4
11115650,4
11171068,4
11264504,4
11300704,4
11321456,4
11348435,4
11368101,4
11423982,4
11516995,4
11556898,4
11693578,4
11753162,4
11813456,4
11838237,4
11891863,4
12099579,4
12102484,4
12150342,4
12246676,4
12445203,4
12698762,4
12884075,4
12926965,4
13007916,4
13112037,4
13154559,4
13258450,4
13355897,4
13609500,4
13610809,4
13691360,4
13763772,4
13766210,4
13984831,4
14239854,4
14280563,4
14369409,4
14396639,4
14492855,4
14571007,4
14709051,4
14814753,4
14908693,4
15117062,4
15168293,4
15192355,4
15227387,4
15398662,4
15912226,4
15951075,4
16193830,4
16204497,4
16362129,4
16407193,4
16457852,4
16518476,4
16546810,4
16549356,4
16703406,4
16898108,4
16909153,4
16910649,4
16983731,4
17019434,4
17329587,4
17471896,4
17724480,4
17873549,4
18128262,4
18178799,4
18257409,4
18397693,4
18492824,4
18515874,4
18741469,4
18779447,4
18989913,4
19038866,4
19212462,4
19220703,4
19277838,4
19303177,4
19445297,4
19463064,4
19576366,4
19584616,4
19662077,4
19675519,4
19714653,4
19720602,4
19827337,4
19953743,4
19954659,4
20073793,4
20094174,4
20142679,4
20212100,4
20336490,4
20513965,4
20583494,4
20593833,4
20625301,4
20634540,4
20720072,4
20736627,4
20929290,4
21016444,4
21106935,4
21189878,4
21226453,4
21336728,4
21351331,4
21369991,4
21561344,4
21577123,4
21743020,4
21763747,4
21778173,4
21820433,4
21931231,4
22016589,4
22100377,4
22101890,4
22229083,4
22367603,4
22386247,4
22507162,4
22758996,4
22988063,4
23009422,4
23064985,4
23094030,4
23120095,4
23185450,4
23333701,4
23352935,4
23378299,4
23522594,4
23608299,4
23817944,4
23930613,4
24143628,4
24263046,4
24355799,4
24365031,4
24435016,4
24449680,4
24542374,4
24610726,4
24649708,4
24676882,4
24884065,4
24910497,4
24972835,4
25019784,4
25082737,4
25199776,4
25264183,4
25344713,4
25498596,4
25543707,4
25556764,4
25571050,4
25641937,4
25697929,4
25748090,4
25771114,4
25780278,4
25792979,4
25820129,4
25836968,4
25892380,4
26027353,4
26157663,4
26186497,4
26210726,4
26227064,4
26330504,4
26381972,4
26460032,4
26533393,4
26535956,4
26607564,4
26647314,4
26656486,4
26724971,4
26921201,4
26936231,4
26968505,4
27322080,4
27332335,4
27363514,4
27618457,4
27630450,4
27831894,4
27947154,4
27952572,4
27969464,4
28015653,4
28092570,4
28220506,4
28279100,4
28443714,4
28516385,4
28695603,4
28701210,4
28725148,4
28802066,4
29074746,4
29135757,4
29197407,4
29220937,4
29246936,4
29310798,4
29349634,4
29634427,4
29810805,4
29938730,4
30090975,4
30103282,4
30103343,4
30301090,4
30351914,4
